name,born,died,sex,source
Elias Canetti,1905,1994,m,
Erwin Carlé,1876,1923,m,
Hans Carossa,1878,1956,m,
Ignaz Franz Castelli,1781,1862,m,
Elisabeth Castonier,1894,1975,f,
Paul Celan,1920,1970,m,
Conrad Celtis,1459,1508,m,
C. W. Ceram,1915,1972,m,
Adelbert von Chamisso,1781,1838,m,
Helene Christaller,1872,1953,f,
Hanns Cibulka,1920,2004,m,
Oscar Walter Cisek,1897,1966,m,
Matthias Claudius,1740,1815,m,
Heinrich Joseph von Collin,1772,1811,m,
Hedwig Courths-Mahler,1867,1950,f,
Wolf-Ulrich Cropp,1941,na,m,
Alfons von Czibulka,1888,1969,m,
Simon Dach,1605,1659,m,
Felix Dahn,1834,1912,m,
Erich von Däniken,1935,na,m,
Jason Dark,1945,na,m,
Clark Darlton,1920,2005,m,
Max Dauthendey,1867,1918,m,
Henriette Davidis,1801,1876,f,
Franz Josef Degenhardt,1931,2011,m,
Richard Dehmel,1863,1920,m,
Michael Denis,1729,1800,m,
Lorenz Diefenbach,1806,1883,m,
Dietmar von Aist,1140,1171,m,
Franz von Dingelstedt,1814,1881,m,
Artur Dinter,1876,1948,m,
Alfred Döblin,1878,1957,m,
Heimito von Doderer,1896,1966,m,
Hilde Domin,1909,2006,f,
Hans Dominik,1872,1945,m,
Marion Dönhoff,1909,2002,f,
Doris Dörrie,1955,na,f,
Tankred Dorst,1925,2017,m,
Annette von Droste-Hülshoff,1797,1848,f,
Slatan Dudow,1903,1963,m,
Friedrich Dürrenmatt,1921,1990,m,
Karen Duve,1961,na,f,
Georg Ebers,1837,1898,m,
Karl Egon Ebert,1801,1882,m,
Marie von Ebner-Eschenbach,1830,1916,f,
Dietrich Eckart,1868,1923,m,
Johann Peter Eckermann,1792,1854,m,
Ernst Eckstein,1845,1900,m,
Wiebke Eden,1968,na,f,
Werner Eggerath,1900,1977,m,
Werner Egk,1901,1983,m,
Albert Ehrenstein,1886,1950,m,
Günter Eich,1907,1972,m,
Joseph Freiherr von Eichendorff,1788,1857,m,
Ludwig Eichrodt,1827,1892,m,
Carl Einstein,1885,1940,m,
Siegfried Einstein,1919,1983,m,
Carolin Emcke,1967,na,f,
Michael Ende,1929,1995,m,
Johann Jakob Engel,1741,1802,m,
Hans Magnus Enzensberger,1929,na,m,
Mutlu Ergün,1978,na,m,
Gustav Ernst,1944,na,m,
Paul Ernst,1866,1933,m,
Andreas Eschbach,1959,na,m,
Ernst Wilhelm Eschmann,1904,1987,m,
Richard Euringer,1891,1953,m,
Hanns Heinz Ewers,1871,1943,m,
Ludwig Fahrenkrog,1867,1952,m,
Johannes Daniel Falk,1768,1826,m,
Hans Fallada,1893,1947,m,
Rainer Werner Fassbinder,1945,1982,m,
Jörg Fauser,1944,1987,m,
Gustav Theodor Fechner,1801,1887,m,
Hans-Jorg Fecht,1957,na,m,
Else Feldmann,1884,1942,f,
Kurt Feltz,1910,1982,m,
Lion Feuchtwanger,1884,1958,m,
Renate Feyl,1944,na,f,
Johannes Fiebag,1956,1999,m,
Johann Fischart,1546,1590,m,
Sebastian Fitzek,1971,na,m,
Marieluise Fleißer,1901,1974,f,
Paul Fleming,1609,1640,m,
Walter Flex,1887,1917,m,
Gorch Fock,1880,1916,m,
Theodor Fontane,1819,1898,m,
Friedrich de la Motte Fouqué,1777,1843,m,
Hans Franck,1879,1964,m,
Julia Franck,1970,na,f,
Bruno Frank,1887,1945,m,
Leonhard Frank,1882,1961,m,
Ludwig August Frankl,1810,1894,m,
Franzobel,1967,na,m,
Karl Emil Franzos,1848,1904,m,
Ferdinand Freiligrath,1810,1876,m,
Gustav Frenssen,1863,1945,m,
Gustav Freytag,1816,1895,m,
Alfred Hermann Fried,1864,1921,m,
Erich Fried,1921,1988,m,
Egon Friedell,1878,1938,m,
Max Frisch,1911,1991,m,
Abraham Emanuel Fröhlich,1796,1865,m,
Ludwig Fulda,1862,1939,m,
Cornelia Funke,1958,na,f,
Philipp Galen,1813,1899,m,
Ludwig Ganghofer,1855,1920,m,
Peter Gast,1854,1918,m,
Emanuel Geibel,1815,1884,m,
Arno Geiger,1968,na,m,
Christian Fürchtegott Gellert,1715,1769,m,
Wilhelm Genazino,1943,2018,m,
Stefan George,1868,1933,m,
Paul Gerhardt,1602,1676,m,
Robert Gernhardt,1937,2006,m,
Friedrich Gerstäcker,1816,1872,m,
Heinrich Wilhelm von Gerstenberg,1737,1823,m,
Kerstin Gier,1966,na,f,
Johannes Gilhoff,1861,1930,m,
Franz Karl Ginzkey,1871,1963,m,
Johann Rudolph Glauber,1604,1670,m,
Friedrich Glauser,1896,1938,m,
Johann Wilhelm Ludwig Gleim,1719,1803,m,
Albrecht Goes,1908,2000,m,
Johann Wolfgang von Goethe,1749,1832,m,
Rainald Goetz,1954,na,m,
Melchior Goldast,1578,1635,m,
Claire Goll,1891,1977,f,
Yvan Goll,1891,1950,m,
Bogumil Goltz,1801,1870,m,
Friedrich Wilhelm Gotter,1746,1797,m,
Jeremias Gotthelf,1797,1854,m,
Johann Christoph Gottsched,1700,1766,m,
Johann Nikolaus Götz,1721,1781,m,
Christian Dietrich Grabbe,1801,1836,m,
Oskar Maria Graf,1894,1967,m,
Günter Grass,1927,2015,m,
Ferdinand Gregorovius,1821,1891,m,
Felix Paul Greve,1879,1948,m,
Friedrich Griese,1890,1975,m,
Franz Grillparzer,1791,1872,m,
Jacob Grimm,1785,1863,m,
Wilhelm Grimm,1786,1859,m,
Matthias T. J. Grimme,1953,na,m,
Hans Jakob Christoffel von Grimmelshausen,1621,1676,m,
Hans Gross,1893,1981,m,
Klaus Groth,1819,1899,m,
Anastasius Grün,1806,1876,m,
Andreas Gryphius,1616,1664,m,
Martin Grzimek,1950,na,m,
Anton-Andreas Guha,1937,2010,m,
Martin Gumpert,1897,1955,m,
Johann Christian Günther,1659,1723,m,
Albert Paris Gütersloh,1887,1973,m,
Karl Gutzkow,1811,1878,m,
Friedrich Wilhelm Hackländer,1816,1877,m,
Erich Hackl,1954,na,m,
Peter Hacks,1928,2003,m,
Sebastian Haffner,1907,1999,m,
Friedrich von Hagedorn,1708,1754,m,
Albrecht von Haller,1708,1777,m,
Friedrich Halm,1806,1871,m,
Johann Georg Hamann,1730,1788,m,
Joseph von Hammer-Purgstall,1774,1856,m,
Peter Handke,1942,na,m,
Ferdinand Hanusch,1866,1923,m,
Eberhard Werner Happel,1647,1690,m,
Thea von Harbou,1888,1954,f,
Ernst Hardt,1876,1947,m,
Georg Philipp Harsdörffer,1607,1658,m,
Otto Erich Hartleben,1864,1905,m,
Peter Härtling,1933,2017,m,
Moritz Hartmann,1821,1872,m,
Petra Hartmann,1970,na,f,
Walter Hasenclever,1890,1940,m,
Wilhelm Hasenclever,1837,1889,m,
Wilhelm Hauff,1802,1827,m,
Gerhart Hauptmann,1862,1946,m,
Otto Hauser,1876,1944,m,
Albrecht Haushofer,1903,1945,m,
Marlen Haushofer,1920,1970,f,
Raoul Hausmann,1886,1971,m,
Adolf Hausrath,1837,1909,m,
Gyula Háy,1900,1975,m,
Friedrich Hebbel,1813,1863,m,
Johann Peter Hebel,1760,1826,m,
Friedrich Heer,1916,1983,m,
Heinrich Heine,1797,1856,m,
Helme Heine,1941,na,m,
Willi Heinrich,1920,2005,m,
Helmut Heißenbüttel,1921,1996,m,
Kurt Held,1897,1959,m,
Ulrike Henschke,1830,1897,f,
Luise Hensel,1798,1876,f,
Wilhelm Herchenbach,1818,1889,m,
Karoline Herder,1750,1809,f,
Johann Gottfried Herder,1744,1803,m,
Judith Hermann,1970,na,f,
Stephan Hermlin,1915,1997,m,
Georg Herwegh,1817,1875,m,
Theodor Herzl,1860,1904,m,
Wilhelm Herzog,1884,1960,m,
Hermann Hesse,1877,1962,m,
Helius Eobanus Hessus,1488,1540,m,
Georg Heym,1887,1912,m,
Stefan Heym,1913,2001,m,
Paul Heyse,1830,1914,m,
Wolfgang Hilbig,1941,2007,m,
Wolfgang Hildesheimer,1916,1991,m,
Kurt Hiller,1885,1972,m,
Theodor Gottlieb von Hippel,1741,1796,m,
Rolf Hochhuth,1931,2020,m,
Fritz Hochwälder,1911,1986,m,
Jakob van Hoddis,1887,1942,m,
E. T. A. Hoffmann,1776,1822,m,
Heinrich Hoffmann,1809,1894,m,
August Heinrich Hoffmann von Fallersleben,1798,1874,m,
Gert Hofmann,1931,1993,m,
Hugo von Hofmannsthal,1874,1929,m,
Robert Hohlbaum,1886,1955,m,
Franz Hohler,1943,na,m,
Friedrich Hölderlin,1770,1843,m,
Karl von Holtei,1798,1880,m,
Hans Egon Holthusen,1913,1997,m,
Arno Holz,1863,1929,m,
Ludwig Heinrich Christoph Hölty,1748,1776,m,
Barbara Honigmann,1949,na,f,
Axel Honneth,1949,na,m,
Hans von Hopfen,1835,1904,m,
Ödön von Horvath,1901,1938,m,
Ricarda Huch,1864,1947,f,
Peter Huchel,1903,1981,m,
Norbert Hummelt,1962,na,m,
Wilhelm Hünermann,1900,1975,m,
Christian Friedrich Hunold,1681,1721,m,
Thomas Hürlimann,1950,na,m,
Hanns Dieter Hüsch,1925,2005,m,
Ulrich von Hutten,1488,1523,m,
August Wilhelm Iffland,1759,1814,m,
Heinrich Eduard Jacob,1889,1967,m,
Friedrich Heinrich Jacobi,1743,1819,m,
Johann Georg Jacobi,1740,1814,m,
Ernst Jandl,1925,2000,m,
Tommy Jaud,1970,na,m,
Jean Paul Johann Paul Friedrich Richter),1763,1825,m,
Elfriede Jelinek,1946,na,f,
Walter Jens,1923,2013,m,
Wilhelm Jensen,1837,1911,m,
Uwe Johnson,1934,1984,m,
Hanns Johst,1890,1978,m,
Ernst Jünger,1895,1998,m,
Peter Stephan Jungk,1952,na,m,
Robert Jungk,1913,1994,m,
Johann Heinrich Jung-Stilling,1740,1817,m,
Franz Kafka,1883,1924,m,
Friedrich Kaiser,1814,1874,m,
Georg Kaiser,1878,1945,m,
Max Kalbeck,1850,1921,m,
Mascha Kaléko,1907,1975,f,
David Kalisch,1820,1872,m,
Wladimir Kaminer,1967,na,m,
Hermann Kant,1926,2016,m,
Immanuel Kant,1724,1804,m,
Franz Xaver Kappus,1883,1966,m,
Hellmuth Karasek,1934,2015,m,
Ulrich Karger,1957,na,m,
Marie Luise Kaschnitz,1901,1974,f,
Abraham Gotthelf Kästner,1719,1800,m,
Erich Kästner,1899,1974,m,
Walter Kaufmann,1924–2021,na,m,
Helmut Käutner,1908,1980,m,
Daniel Kehlmann,1975,na,m,
Ernst Keil,1816,1878,m,
Gottfried Keller,1819,1890,m,
Hans Peter Keller,1915,1988,m,
Werner Keller,1909,1980,m,
Friedrich Kellner,1885,1970,m,
Walter Kempowski,1929,2007,m,
Johannes Kepler,1571,1630,m,
Justinus Kerner,1786,1862,m,
Alfred Kerr,1867,1948,m,
Judith Kerr,1923,2019,f,
Irmgard Keun,1905,1982,f,
Eduard von Keyserling,1855,1918,m,
Johann Gottfried Kinkel,1815,1882,m,
Bodo Kirchhoff,1948,na,m,
Sarah Kirsch,1935,2013,f,
Hans Hellmut Kirst,1914,1989,m,
Egon Erwin Kisch,1885,1948,m,
Karin Kiwus,1942,na,f,
Johann Klaj,1616,1656,m,
Ewald Christian von Kleist,1715,1759,m,
Heinrich von Kleist,1777,1811,m,
Jochen Klepper,1903,1942,m,
Ernst August Friedrich Klingemann,1777,1831,m,
Friedrich Maximilian Klinger,1752,1831,m,
Friedrich Gottlieb Klopstock,1724,1803,m,
Alexander Kluge,1932,na,m,
Ruth Klüger,1931,na,f,
Hildegard Knef,1925,2002,f,
Werner Koch,1926,1992,m,
Matthias Koeppel,1937,na,m,
Wolfgang Koeppen,1906,1996,m,
Gerhard Kofler,1949,2005,m,
Michael Köhlmeier,1949,na,m,
Oskar Kokoschka,1886,1980,m,
Gertrud Kolmar,1894,1943,m,
Leopold Kompert,1822,1886,m,
Heinz G. Konsalik,1921,1999,m,
August Kopisch,1799,1853,m,
Paul Kornfeld,1889,1942,m,
August von Kotzebue,1761,1819,m,
Christian Kracht,1966,na,m,
Robert Kraft,1869,1916,m,
Karl Kraus,1874,1936,m,
Helmut Krausser,1964,na,m,
Franz Xaver Kroetz,1946,na,m,
Friedrich Adolf Krummacher,1767,1845,m,
Max Kruse,1921,2015,m,
James Krüss,1926,1997,m,
Alfred Kubin,1877,1959,m,
Adam Kuckhoff,1887,1943,m,
Johannes Kuen,1606,1675,m,
Franz Theodor Kugler,1808,1858,m,
Dayan Kodua,1980,na,f,
Johann Kuhnau,1660,1722,m,
Michael Kumpfmüller,1961,na,m,
Johann Kunckel,1630,1703,m,
Thor Kunkel,1963,na,m,
Reiner Kunze,1933,na,m,
Elisar von Kupffer,1872,1942,m,
Hermann Kurz,1813,1873,m,
Isolde Kurz,1853,1944,f,
Kurt Kusenberg,1904,1983,m,
Gustav Landauer,1870,1919,m,
Karl Heinrich Lang,1764,1835,m,
Katja Lange-Müller,1951,na,f,
Elisabeth Langgässer,1899,1950,f,
Sophie von La Roche,1730,1807,f,
Else Lasker-Schüler,1869,1945,f,
Kurd Laßwitz,1848,1910,m,
Heinrich Laube,1806,1884,m,
Josef Lauff,1855,1933,m,
Christine Lavant,1915,1973,f,
Johann Kaspar Lavater,1741,1801,m,
Richard Leander,1830,1889,m,
Benjamin Lebert,1982,na,m,
Gertrud von Le Fort,1876,1971,f,
Nikolaus Lenau,1802,1850,m,
Ellen Lenneck,1851,1880,f,
Michael Lentz,1964,na,m,
Jakob Michael Reinhold Lenz,1751,1792,m,
Siegfried Lenz,1926,2014,m,
Paul Leppin,1879,1945,m,
Alexander Lernet-Holenia,1897,1976,m,
Gotthold Ephraim Lessing,1729,1781,m,
Reinhard Lettau,1929,1996,m,
Rahel Levin,1771,1833,f,
Fanny Lewald,1811,1889,f,
Georg Christoph Lichtenberg,1742,1799,m,
Herbert Lichtenfeld,1927,2001,m,
Alfred Lichtenstein,1889,1914,m,
Heinz Liepmann,1905,1966,m,
Detlev von Liliencron,1844,1909,m,
Kurt Linck,1889,na,m,
Paul Lindau,1839,1919,m,
Erich Loest,1926,2013,m,
Friedrich von Logau,1604,1655,m,
Daniel Casper von Lohenstein,1635,1683,m,
Hermann Löns,1866,1914,m,
Jakob Lorber,1800,1864,m,
Rudolf Lorenzen,1922,2013,m,
Hieronymus Lorm,1821,1902,m,
Ernst Lothar,1890,1974,m,
Rudolf Lothar,1865,1933,m,
Emil Ludwig,1881,1948,m,
Otto Ludwig,1813,1865,m,
Martin Luther,1483,1546,m,
Paul Maar,1937,na,m,
John Henry Mackay,1864,1933,m,
Andreas Mand,1959,na,m,
Erika Mann,1905,1969,f,
Golo Mann,1909,1994,m,
Heinrich Mann,1871,1950,m,
Klaus Mann,1906,1949,m,
Thomas Mann,1875,1955,m,
Hans Marchwitza,1890,1965,m,
Giwi Margwelaschwili,1927,2020,m,
Karl von Marinelli,1745,1803,m,
Monika Maron,1941,na,f,
Friedrich von Matthisson,1761,1831,m,
Fritz Mauthner,1849,1923,m,
Karl May,1842,1912,m,
Marius von Mayenburg,1972,na,m,
Hans Mayer,1907,2001,m,
Christoph Meckel,1935,na,m,
Miriam Meckel,1967,na,f,
Selma Meerbaum-Eisinger,1924,1942,f,
Walter Mehring,1896,1981,m,
Wilhelm Meinhold,1797,1851,m,
Paul Melissus,1539,1602,m,
Robert Menasse,1954,na,m,
Eva Menasse,1970,na,f,
Moses Mendelssohn,1729,1786,m,
Wolfgang Menzel,1798,1873,m,
Pascal Mercier,1944,na,m,
Johann Heinrich Merck,1741,1791,m,
Sophie Mereau,1770,1806,f,
Conrad Ferdinand Meyer,1825,1898,m,
Melchior Meyr,1810,1872,m,
Gustav Meyrink,1868,1932,m,
Agnes Miegel,1879,1964,f,
Jo Mihaly,1902,1989,f,
Waltraud Anna Mitgutsch,1948,na,f,
Klaus Modick,1951,na,m,
Georg Mohr,1870,1928,m,
Paul Möhring,1890,1976,m,
Walter von Molo,1880,1958,m,
Christian Morgenstern,1871,1914,m,
Irmtraud Morgner,1933,1990,f,
Daniel Georg Morhof,1639,1691,m,
Eduard Mörike,1804,1875,m,
Karl Philipp Moritz,1756,1793,m,
Petra Morsbach,1956,na,f,
Johann Michael Moscherosch,1601,1669,m,
Julius Mosen,1803,1867,m,
Johann Joseph Most,1846,1906,m,
Hans Much,1880,1932,m,
Erich Mühsam,1878,1934,m,
Adam Heinrich Müller,1779,1829,m,
Friedrich Müller,1749,1825,m,
Heiner Müller,1929,1995,m,
Herta Müller,1953,na,f,
Inge Müller,1925,1966,f,
Wilhelm Müller,1794,1827,m,
Wolfgang Müller von Königswinter,1816,1873,m,
Theodor Mundt,1808,1861,m,
Thomas Murner,1475,1536,m,
Johann Karl August Musäus,1735,1787,m,
Adolf Muschg,1934,na,m,
Robert Musil,1880,1942,m,
Herbert Nachbar,1930,1980,m,
Johann Nestroy,1802,1862,m,
Alfred Neumann,1895,1952,m,
Natias Neutert,1941,na,m,
Eckhart Nickel,1966,na,m,
Friedrich Nicolai,1733,1811,m,
Ernst Niebergall,1815,1843,m,
Friedrich Nietzsche,1844,1900,m,
Dieter Noll,1927,2008,m,
Ingrid Noll,1935,na,f,
Christine Nöstlinger,1936,2018,f,
Helga M. Novak,1935,2013,f,
Novalis,1772,1801,m,
Martin Opitz,1597,1639,m,
Ernst Ortlepp,1800,1864,m,
Andreas Osiander,1496,1552,m,
Carl von Ossietzky,1889,1938,m,
Oswald von Wolkenstein,1377,1445,m,
Emine Sevgi Özdamar,1946,na,f,
Oskar Panizza,1853,1921,m,
Franz von Papen,1879,1969,m,
Harald Parigger,1953,na,m,
Jean Paul,1763,1825,m,
Erica Pedretti,1930,na,f,
Annette Pehnt,1967,na,f,
Ulrich Peltzer,1956,na,m,
Ernst Penzoldt,1892,1955,m,
Leo Perutz,1882,1957,m,
Johann Heinrich Pestalozzi,1746,1827,m,
Julius Petri,1868,1894,m,
Ludwig Pfau,1821,1894,m,
Anita Pichler,1948,1997,f,
Karoline Pichler,1769,1843,f,
Heinz Piontek,1925,2003,m,
Willibald Pirckheimer,1470,1530,m,
August von Platen-Hallermünde,1796,1835,m,
Ulrich Plenzdorf,1934,2007,m,
Luise von Ploennies,1803,1872,f,
Johannes Praetorius,1630,1680,m,
Paula von Preradović,1887,1951,f,
Otfried Preußler,1923,2013,m,
Robert Prutz,1816,1872,m,
Stanisław Przybyszewski,1868,1927,m,
Hermann von Pückler-Muskau,1785,1871,m,
Wilhelm Raabe,1831,1910,m,
Gottlieb Wilhelm Rabener,1714,1771,m,
Wilhelm Rath,1897,1973,m,
Ferdinand Raimund,1790,1836,m,
Karl Wilhelm Ramler,1725,1798,m,
Christoph Ransmayr,1954,na,m,
Lutz Rathenow,1952,na,m,
Wolfgang Ratke,1571,1635,m,
Sven Regener,1961,na,m,
Ruth Rehmann,1922,2016,f,
Marcel Reich-Ranicki,1920,2013,m,
Uwe Reimer,1948,2004,m,
Herbert Reinecker,1914,2007,m,
Ludwig Rellstab,1799,1860,m,
Erich Maria Remarque,1898,1970,m,
Joscha Remus,1958,na,m,
Lothar Rendulic,1897,1971,m,
Sir John Retcliffe,1815,1878,m,
Johannes Reuchlin,1455,1522,m,
Fritz Reuter,1810,1874,m,
Hans Peter Richter,1926,1993,m,
Hans Werner Richter,1908,1993,m,
Frieda von Richthofen,1879,1956,f,
Brigitte Riebe,1953,na,f,
Rainer Maria Rilke,1875,1926,m,
Joachim Ringelnatz,1883,1934,m,
Louise Rinser,1911,2002,f,
Johann Rist,1607,1667,m,
Robert Roberthin,1600,1648,m,
Charlotte Roche,1978,na,f,
Alexander Roda Roda,1872,1945,m,
Peter Rosegger,1843,1918,m,
Peter Rosei,1946,na,m,
Ernst Rosmer,1866,1949,m,
Johann Leonhard Rost,1688,1727,m,
Eugen Roth,1895,1976,m,
Friederike Roth,1948,na,f,
Gerhard Roth,1942,na,m,
Joseph Roth,1894,1939,m,
Patrick Roth,1953,na,m,
Stephan Ludwig Roth,1796,1849,m,
Toni Rothmund,1877,1956,f,
Friedrich Rückert,1788,1866,m,
Ferdinand von Saar,1833,1906,m,
Leopold von Sacher-Masoch,1836,1895,m,
Hans Sachs,1494,1576,m,
Nelly Sachs,1891,1970,f,
Ernst von Salomon,1902,1972,m,
Felix Salten,1869,1945,m,
Christian Gotthilf Salzmann,1744,1811,m,
Adolf Friedrich von Schack,1815,1894,m,
Jakob Schaffner,1875,1944,m,
Rafik Schami,1946,na,m,
Paul Scheerbart,1863,1915,m,
Leopold Schefer,1784,1862,m,
Joseph Victor von Scheffel,1826,1886,m,
Johann Hermann Schein,1586,1630,m,
Johannes Scherr,1817,1886,m,
Emanuel Schikaneder,1751,1812,m,
Friedrich Schiller,1759,1805,m,
Roland Schimmelpfennig,1967,na,m,
Baldur von Schirach,1907,1974,m,
Johannes Schlaf,1862,1941,m,
August Wilhelm Schlegel,1767,1845,m,
Friedrich Schlegel,1772,1829,m,
Johann Elias Schlegel,1719,1749,m,
Bernhard Schlink,1944,na,m,
Arno Schmidt,1914,1979,m,
Michael Schmidt-Salomon,1967,na,m,
Elke Schmitter,1961,na,f,
Max Schneckenburger,1819,1849,m,
Louis Schneider,1805,1878,m,
Reinhold Schneider,1903,1958,m,
Arthur Schnitzler,1862,1931,m,
Wolfdietrich Schnurre,1920,1989,m,
Johanna Schopenhauer,1766,1838,f,
Friedrich Ludwig Schröder,1744,1816,m,
Rainer M. Schröder,1951,na,m,
Christian Friedrich Daniel Schubart,1739,1791,m,
Levin Schücking,1814,1883,m,
Franz Schuh,1947,na,m,
Tony Schumacher,1848,1931,m,
Gustav Schwab,1792,1850,m,
Werner Schwab,1958,1994,m,
Dietrich Schwanitz,1940,2004,m,
Achim Schwarze,1958,na,m,
Alice Schwarzer,1942,na,f,
Kurt Schwitters,1887,1948,m,
Charles Sealsfield,1793,1864,m,
W. G. Sebald,1944,2001,m,
Anna Seghers,1900,1983,f,
Lutz Seiler,1963,na,m,
Franz Seldte,1882,1947,m,
Walter Serner,1889,1942,m,
Johann Gottfried Seume,1763,1810,m,
Friedrich Sieburg,1893,1964,m,
Johannes Mario Simmel,1924,2009,m,
Karl Simrock,1802,1876,m,
Curt Siodmak,1902,2000,m,
Johann Sithmann,1602,1666,m,
Angela Sommer-Bodenburg,1948,na,f,
Joseph von Sonnenfels,1733,1817,m,
Jura Soyfer,1912,1939,m,
Manès Sperber,1905,1984,m,
Hilde Spiel,1911,1990,f,
Friedrich Spielhagen,1829,1911,m,
Carl Spitteler,1845,1924,m,
Johanna Spyri,1827,1901,f,
Arnold Stadler,1954,na,m,
Albert Steffen,1884,1963,m,
Angela Steinmüller,1941,na,f,
Karlheinz Steinmüller,1950,na,m,
Ginka Steinwachs,1942,na,f,
Adolf Stern,1835,1907,m,
Fritz Steuben,1898,1981,m,
Adalbert Stifter,1805,1868,m,
Julius Stinde,1841,1905,m,
Max Stirner,1806,1856,m,
Helene Stöcker,1869,1943,f,
Christian zu Stolberg-Stolberg,1748,1821,m,
Theodor Storm,1817,1888,m,
August Stramm,1874,1915,m,
Botho Strauß,1944,na,m,
Erwin Strittmatter,1912,1994,m,
Eva Strittmatter,1930,2011,f,
Antje Rávic Strubel,1974,na,f,
Julius Sturm,1816,1896,m,
Hermann Sudermann,1857,1928,m,
Patrick Süskind,1949,na,m,
Wilhelm Emanuel Süskind,1901,1970,m,
Süßkind von Trimberg,1230,1300,m,
Martin Suter,1948,na,m,
Bertha von Suttner,1843,1914,f,
Leonie Swann,1975,na,f,
Carmen Sylva,1843,1916,f,
George Tabori,1914,2007,m,
Rudolf Tarnow,1867,1933,m,
Gerhard Tersteegen,1697,1769,m,
Ludwig Thoma,1867,1921,m,
Moritz August von Thummel,1738,1817,m,
Harry Thürk,1927,2005,m,
Ludwig Tieck,1773,1853,m,
Uwe Timm,1940,na,m,
Ernst Toller,1893,1939,m,
Friedrich Torberg,1908,1979,m,
Georg Trakl,1887,1914,m,
B. Traven,1882,1969,m,
Ilija Trojanow,1965,na,m,
Kurt Tucholsky,1890,1935,m,
Ludwig Uhland,1787,1862,m,
Regina Ullmann,1884,1961,f,
Hermann Ungar,1893,1929,m,
Fritz von Unruh,1885,1970,m,
Johann Peter Uz,1720,1796,m,
Joachim Vadianus,1484,1551,m,
Karl Valentin,1882,1948,m,
Jan Valtin,1905,1951,m,
Karl August Varnhagen von Ense,1785,1858,m,
Rahel Varnhagen,1771,1833,f,
Berthold Viertel,1885,1953,m,
Friedrich Theodor Vischer,1807,1887,m,
Johann Heinrich Voss,1751,1826,m,
Richard Voss,1851,1918,m,
Christian August Vulpius,1762,1827,m,
Wilhelm Heinrich Wackenroder,1773,1798,m,
Heinrich Leopold Wagner,1747,1779,m,
Jan Costin Wagner,1972,na,m,
Siegfried Wagner,1869,1930,m,
Wilhelm Waiblinger,1804,1830,m,
Herwarth Walden,1878,1941,m,
Martin Walser,1927,na,m,
Robert Walser,1878,1956,m,
Maxie Wander,1933,1977,m,
Gustav von Wangenheim,1895,1975,m,
Jakob Wassermann,1873,1934,m,
Frank Wedekind,1864,1918,m,
