name,born,died,sex,source
Rebecca Harding Davis,1831,1910,,
Richard Harding Davis,1864,1916,,
John William De Forest,1826,1906,,
Nelson DeMille,1943,na,,
Jeffery Deaver,1950,na,,
Margaret Deland,1857,1945,,
Samuel Delany,1942,na,,
Don DeLillo,1936,na,,
Floyd Dell,1887,1969,,
John D’Emilio,1948,na,,
Joseph Dennie,1768,1812,,
Bradley Denton,1958,na,,
Babette Deutsch,1895,1982,,
James Dickey,1923,1997,,
Emily Dickinson,1830,1886,,
John Dickinson,1732,1808,,
Joan Didion,1934,2021,,
William C. Dietz,1945,na,,
Annie Dillard,1945,na,,
S. S. Van Dine,1888,1939,,
Diane DiPrima,1934,2020,,
Thomas M. Disch,1940,2008,,
Irene Dische,1952,na,,
Chitra Banerjee Divakaruni,1956,na,,
Melvin Dixon,1950,1992,,
Carl Djerassi,1923,2015,,
E. L. Doctorow,1931,2015,,
Anthony Doerr,1973,na,,
James Patrick Donleavy,1926,2017,,
Lara Elena Donnelly,1990,na,,
Hilda Doolittle,1886,1961,,
Edward Dorn,1929,1999,,
John Dos Passos,1896,1970,,
Mark Doty,1953,na,,
Lloyd C. Douglas,1877,1951,,
Frederick Douglass,1818,1895,,
Rita Dove,1952,na,,
Joseph Rodman Drake,1795,1820,,
Theodore Dreiser,1871,1945,,
Karen Drogin,1965,na,,
Allen Drury,1918,1998,,
Martin Duberman,1930,na,,
William Edward Burghardt Du Bois,1868,1963,,
Shirley Graham Du Bois,1896,1977,,
Paul Laurence Dunbar,1872,1906,,
Lois Duncan,1934,2016,,
Robert Duncan,1919,1988,,
William Dunlap,1766,1839,,
Katherine Dunn,1945,2016,,
Dominick Dunne,1925,2009,,
Finley Peter Dunne,1867,1936,,
John Gregory Dunne,1932,2003,,
Evert Augustus Duyckinck,1816,1878,,
Timothy Dwight IV,1752,1817,,
Elana Dykewomon,1949,2022,,
Wayne R. Dynes,1934,2021,,
William Eastlake,1917,1997,,
Max Eastman,1883,1969,,
Richard Eberhart,1904,2005,,
David Ebershoff,1969,na,,
Allan W. Eckert,1931,2011,,
David Eddings,1931,2009,,
Leigh Eddings,1937,2007,,
Jonathan Edwards,1703,1758,,
Dave Eggers,1970,na,,
Edward Eggleston,1837,1902,,
Tristan Egolf,1971,2005,,
T. S. Eliot,1888,1965,,
Stanley Elkin,1930,1995,,
Sumner Locke Elliott,1917,1991,,
Bret Easton Ellis,1964,na,,
Harlan Ellison,1934,2018,,
Ralph Ellison,1914,1994,,
James Ellroy,1948,na,,
Ralph Waldo Emerson,1803,1882,,
Carol Emshwiller,1921,2019,,
F. William Engdahl,1944,na,,
Nathan Englander,1970,na,,
Paul Erdman,1932,2007,,
Louise Erdrich,1954,na,,
Steve Erickson,1950,na,,
John Erskine,1879,1951,,
William N. Eskridge,1951,na,,
Jeffrey Eugenides,1960,na,,
Janet Evanovich,1943,na,,
Lillian Faderman,1940,na,,
Anne Fadiman,1953,na,,
Ian Falconer,1959,2023,,
John Fante,1909,1983,,
Richard Fariña,1937,1966,,
Walter Farley,1915,1989,,
Philip José Farmer,1918,2009,,
James T. Farrell,1904,1979,,
Howard Fast,1914,2003,,
William Faulkner,1897,1962,,
Jessie Redmon Fauset,1882,1961,,
Raymond Federman,1928,2009,,
David B. Feinberg,1956,1994,,
Leslie Feinberg,1949,2014,,
Raymond Feist,1945,na,,
Marilyn Ferguson,1938,2008,,
Lawrence Ferlinghetti,1919,2021,,
Robert Ferro,1941,1988,,
Edward Field,1924,na,,
Eugene Field,1850,1895,,
Rachel Field,1894,1942,,
Annie Adams Fields,1834,1915,,
Herbert Fields,1897,1958,,
Amanda Filipacchi,1967,na,,
Peter Fisher,1944,2012,,
Vardis Fisher,1895,1968,,
F. Scott Fitzgerald,1896,1940,,
Zelda Fitzgerald,1900,1948,,
Louise Fitzhugh,1928,1974,,
Eric Flint,1947,2022,,
Michael F. Flynn,1947,na,,
Vince Flynn,1966,2013,,
Jonathan Safran Foer,1977,na,,
Shelby Foote,1916,2005,,
Esther Forbes,1891,1967,,
Michael Thomas Ford,1968,na,,
Richard Ford,1944,na,,
Gayle Forman,1970,na,,
Justus Forman,1875,1915,,
Hannah Webster Foster,1758,1840,,
Jeannette Howard Foster,1895,1981,,
Ben Fountain,1958,na,,
Paula Fox,1923,2017,,
George Foy,1952,na,,
David France,1959,na,,
Nathaniel Frank,,na,,
Waldo Frank,1889,1967,,
Benjamin Franklin,1706,1790,,
Jonathan Franzen,1959,na,,
Harold Frederic,1856,1898,,
Castle Freeman,1944,na,,
Joseph Sherman Frelinghuysen junior,1912,2005,,
Marilyn French,1929,2009,,
Philip Freneau,1752,1832,,
Bruce Jay Friedman,1930,2020,,
Robert Dean Frisbie,1896,1948,,
Jack Fritscher,1939,na,,
Robert Frost,1874,1963,,
James Fugaté,1922,1995,,
Charles Fuller,1939,2022,,
Henry Blake Fuller,1857,1929,,
Margaret Fuller,1810,1850,,
Jacques Futrelle,1875,1912,,
William Gaddis,1922,1998,,
Nicholas Gage,1939,na,,
Ernest J. Gaines,1933,2019,,
Zona Gale,1874,1938,,
Paul Gallico,1897,1976,,
Joshua Gamson,1962,na,,
Muriel Gardiner,1901,1985,,
Erle Stanley Gardner,1889,1970,,
John Gardner,1933,1982,,
Hamlin Garland,1860,1940,,
Randall Garrett,1927,1987,,
William Gass,1924,2017,,
Roxane Gay,1974,na,,
Jack Gelber,1932,2003,,
Elizabeth George,1949,na,,
Jean Craighead George,1919,2012,,
Tess Gerritsen,1953,na,,
Masha Gessen,1967,na,,
William Gibson,1948,na,,
William Gibson,1914,2008,,
Elsa Gidlow,1898,1986,,
Elizabeth Gilbert,1969,na,,
Ellen Gilchrist,1935,na,,
Charlotte Perkins Gilman,1860,1935,,
Dorothy Gilman,1923,2012,,
Frank D. Gilroy,1925,2015,,
Allen Ginsberg,1926,1997,,
Janine di Giovanni,1961,na,,
Nikki Giovanni,1943,na,,
William Giraldi,1974,na,,
Ellen Glasgow,1873,1945,,
Susan Glaspell,1876,1948,,
Louise Glück,1943,na,,
Donald F. Glut,1944,na,,
Joey Goebel,1980,na,,
Albert Goldbarth,1948,na,,
Natalie Goldberg,1948,na,,
Arthur Golden,1956,na,,
Christie Golden,1963,na,,
William Goldman,1931,2018,,
Jewelle Gomez,1948,na,,
Rigoberto González,1970,na,,
Brad Gooch,1952,na,,
Melissa Good,1962,na,,
Terry Goodkind,1948,2020,,
Ron Goulart,1933,2022,,
Samuel Griswold Goodrich,1793,1860,,
Lester Goran,1928,2014,,
Mary Gordon,1949,na,,
Noah Gordon,1926,2021,,
Charles Gordone,1925,1995,,
Vivian Gornick,1935,na,,
Paula Gosling,1939,na,,
William Goyen,1915,1983,,
Sue Grafton,1940,2017,,
Judy Grahn,1940,na,,
Linda Grant,1942,na,,
Shirley Ann Grau,1929,2020,,
Elizabeth Graver,1964,na,,
Andrew Greeley,1928,2013,,
Anne Green,1891,1979,,
Gerald Green,1922,2006,,
John Green,1977,na,,
Julien Green,1900,1998,,
Harlan Greene,1953,na,,
Andrew Sean Greer,1970,na,,
Horace Gregory,1898,1982,,
Zane Grey,1872,1939,,
Barbara Grier,1933,2011,,
W. E. B. Griffin,1929,2019,,
Jim Grimsley,1955,na,,
John Grisham,1955,na,,
Winston Groom,1943,2020,,
Doris Grumbach,1918,2022,,
Michael Grumley,1942,1988,,
James Gunn,1923,2020,,
Allan Gurganus,1947,na,,
Albert Ramsdell Gurney,1930,2017,,
Beth Gutcheon,1945,na,,
David Guterson,1956,na,,
Brion Gysin,1916,1986,,
Charles F. Haanel,1866,1949,,
John Habberton,1842,1921,,
Marilyn Hacker,1942,na,,
Jessica Hagedorn,1949,na,,
Kimiko Hahn,1955,na,,
Jennifer Haigh,1968,na,,
Edward Everett Hale,1822,1909,,
Alex Haley,1921,1992,,
James Hall,1793,1868,,
James Norman Hall,1887,1951,,
Fitz-Greene Halleck,1790,1867,,
Barbara Hambly,1951,na,,
Laurell K. Hamilton,1963,na,,
Virginia Hamilton,1936,2002,,
Dashiell Hammett,1894,1961,,
Lori Handeland,1961,na,,
Lorraine Hansberry,1930,1965,,
Joseph Hansen,1923,2004,,
Paul Harding,1967,na,,
Elizabeth Hardwick,1916,2007,,
Joy Harjo,1951,na,,
Henry Harland,1861,1905,,
Frances Harper,1825,1911,,
Stephen Harrigan,1948,na,,
Bertha Harris,1937,2005,,
E. Lynn Harris,1955,2009,,
Joel Chandler Harris,1848,1908,,
Susan Harris,1940,na,,
Harry Harrison,1925,2012,,
Jim Harrison,1937,2016,,
Carla Harryman,1952,na,,
Ellen Hart,1949,na,,
Bret Harte,1836,1902,,
Kent Haruf,1943,2014,,
Adam Haslett,1970,na,,
Ethan Hawke,1970,na,,
John Hawkes,1925,1998,,
Noah Hawley,1967,na,,
Nathaniel Hawthorne,1804,1864,,
John Hay,1838,1905,,
Louise Hay,1926,2017,,
Elizabeth Haydon,1965,na,,
Joseph Hayes,1918,2006,,
Trebor Healey,1962,na,,
Lafcadio Hearn,1850,1904,,
Anthony Hecht,1923,2004,,
Carolyn Heilbrun,1926,2003,,
Scott Heim,1966,na,,
Robert A. Heinlein,1907,1988,,
Joseph Heller,1923,1999,,
Lillian Hellman,1905,1984,,
Mark Helprin,1947,na,,
Ernest Hemingway,1899,1961,,
Kaui Hart Hemmings,1975,na,,
Essex Hemphill,1957,1995,,
John G. Hemry,1956,na,,
O. Henry,1862,1910,,
Frank Herbert,1920,1986,,
Joseph Hergesheimer,1880,1954,,
James Leo Herlihy,1927,1993,,
James Herne,1839,1901,,
Michael Herr,1940,2016,,
Robert Herrick,1868,1938,,
John Hersey,1914,1993,,
Joan Hess,1949,2017,,
Jim Heynen,1940,na,,
Dorothy Heyward,1890,1961,,
George V. Higgins,1939,1999,,
Thomas Wentworth Higginson,1823,1911,,
Patricia Highsmith,1921,1995,,
Oscar Hijuelos,1951,2013,,
Raul Hilberg,1926,2007,,
Joe Hill,1972,na,,
Chester Himes,1909,1984,,
William Hjortsberg,1941,2017,,
Tami Hoag,1959,na,,
Russell Hoban,1925,2011,,
Alice Tisdale Hobart,1882,1967,,
Edward D. Hoch,1930,2008,,
Adam Hochschild,1942,na,,
Arlie Russell Hochschild,1940,na,,
Michael Hoeye,1947,na,,
Eric Hoffer,1902,1983,,
Alice Hoffman,1952,na,,
Calvin Hoffman,1906,1986,,
Jilliane Hoffman,1967,na,,
Lee Hoffman,1932,2007,,
Nicholas von Hoffman,1929,2018,,
John Hollander,1929,2013,,
Andrew Holleran,1944,na,,
Sheri Holman,1966,na,,
James Holmes,1924,1986,,
Oliver Wendell Holmes Sr.,1809,1894,,
bell hooks,1952,2021,,
Francis Hopkinson,1737,1791,,
Paul Horgan,1903,1995,,
Richard Hovey,1864,1900,,
Richard Howard,1929,2022,,
Robert E. Howard,1906,1936,,
Sidney Howard,1891,1939,,
Julia Ward Howe,1819,1910,,
William Dean Howells,1837,1920,,
Richard Hoyt,1941,na,,
Elbert Hubbard,1856,1915,,
L. Ron Hubbard,1911,1986,,
Barry Hughart,1934,2019,,
Langston Hughes,1902,1967,,
Zach Hughes,1928,2016,,
Richard Hugo,1923,1982,,
William Humphrey,1924,1997,,
Fannie Hurst,1889,1968,,
Zora Neale Hurston,1891,1960,,
Siri Hustvedt,1955,na,,
Paul Hutchens,1902,1977,,
Maude Hutchins,1899,1991,,
David Henry Hwang,1957,na,,
Joe Hyams,1923,2008,,
David Ignatow,1914,1997,,
Greg Iles,1960,na,,
William Inge,1913,1973,,
John Irving,1942,na,,
Washington Irving,1783,1859,,
Christopher Isherwood,1904,1986,,
Jean-Claude van Itallie,1936,2021,,
Helen Hunt Jackson,1831,1885,,
Shirley Jackson,1916,1965,,
Heinrich Eduard Jacob,1889,1967,,
A. J. Jacobs,1968,na,,
Rona Jaffe,1931,2005,,
John Jakes,1932,2023,,
Henry James,1843,1916,,
Rhoda Janzen,196?,na,,
Randall Jarrell,1914,1965,,
Karla Jay,1947,na,,
Robinson Jeffers,1887,1962,,
Thomas Jefferson,1743,1826,,
N. K. Jemisin,1972,na,,
Gish Jen,1956,na,,
K. W. Jeter,1950,na,,
Sarah Orne Jewett,1849,1909,,
Ha Jin,1956,na,,
Warren Johansson,1934,1994,,
Iris Johansen,1938,na,,
Adam Johnson,1967,na,,
Charles Richard Johnson,1948,na,,
David K. Johnson,1962,na,,
Denis Johnson,1949,2017,,
Fenton Johnson,1888,1958,,
Fenton Johnson,1953,na,,
James Weldon Johnson,1871,1938,,
Spencer Johnson,1938,2017,,
Toby Johnson,1945,na,,
Jill Johnston,1929,2010,,
Edward P. Jones,1950,na,,
Gayl Jones,1949,na,,
James Jones,1921,1977,,
Tayari Jones,1970,na,,
Erica Jong,1942,na,,
Julie Kagawa,1982,na,,
Karin Kallmaker,1960,na,,
Stuart Kaminsky,1934,2009,,
MacKinlay Kantor,1904,1977,,
Philip Kapleau,1912,2004,,
Julia Kasdorf,1962,na,,
Jonathan David Katz,1958,na,,
Jonathan Ned Katz,1938,na,,
Steve Katz,1935,2019,,
John Katzenbach,1950,na,,
Alex Kava,1960,na,,
Elia Kazan,1909,2003,,
Brian Keene,1967,na,,
Garrison Keillor,1942,na,,
Evelyn Fox Keller,1936,na,,
Helen Keller,1880,1968,,
William Melvin Kelley,1937,2017,,
Randall Kenan,1963,2020,,
George F. Kennan,1904,2005,,
Eugene Kennedy,1928,2015,,
Hubert Kennedy,1931,na,,
John Pendleton Kennedy,1795,1870,,
Raymond Kennedy,1934,2008,,
William Kennedy,1928,na,,
Jack Kerouac,1922,1969,,
Katharine Kerr,1944,na,,
Ken Kesey,1935,2001,,
Francis Scott Key,1779,1843,,
Daniel Keyes,1927,2014,,
Greg Keyes,1963,na,,
Kevin Killian,1952,2019,,
Jamaica Kincaid,1949,na,,
Laurie R. King,1952,na,,
Stephen King,1947,na,,
Thomas King,1943,na,,
Sidney Kingsley,1906,1995,,
Maxine Hong Kingston,1940,na,,
Galway Kinnell,1927,2014,,
Binnie Kirshenbaum,1964,na,,
Carolyn Kizer,1925,2014,,
Phil Klay,1983,na,,
Eloise Klein Healy,1943,na,,
T. J. Klune,1982,na,,
Etheridge Knight,1931,1991,,
John Knowles,1926,2001,,
Kenneth Koch,1925,2002,,
Wayne Koestenbaum,1958,na,,
Yusef Komunyakaa,1947,na,,
Bill Konigsberg,1970,na,,
Dean Koontz,1945,na,,
Arthur Kopit,1937,2021,,
William Kotzwinkle,1943,na,,
Larry Kramer,1935,2020,,
Judith Krantz,1928,2019,,
Alfred Kreymborg,1883,1966,,
Dinah Lee Küng,1972,na,,
Scott Alan Kugle,1969,na,,
Stanley Kunitz,1905,2006,,
Benjamin Kunkel,1972,na,,
Tuli Kupferberg,1923,2010,,
Michael Kurland,1938,na,,
Ellen Kushner,1955,na,,
Tony Kushner,1956,na,,
Henry Kuttner,1915,1958,,
Joanne Kyger,1934,2017,,
Mercedes Lackey,1950,na,,
Oliver La Farge,1901,1963,,
Raphael Aloysius Lafferty,1914,2002,,
Frederica de Laguna,1906,2004,,
Jhumpa Lahiri,1967,na,,
Dewey Lambdin,1945,2021,,
Margaret Landon,1903,1993,,
Sidney Lanier,1842,1881,,
Elizabeth Lapovsky Kennedy,1939,na,,
