country-en,country-de,country-sv,country-lv,capital-en,capital-de,capital-sv,capital-lv,country-vi,capital-vi,country-orig,capital-alternatives
Brazil,Brasilien,Brasilien,Brazīlija,Brasilia,Brasília,Brasília,Brazilja,Brasil,Brasília,Brasil,Brasília;Brasilia
Brunei,Brunei,Brunei,Bruneja,Bandar Seri Begawan,Bandar Seri Begawan,Bandar Seri Begawan,Bandarseribegavana,Brunei,Bandar Seri Begawan,Negara Brunei Darussalam,Bandar Seri Begawan;Bandar
Bulgaria,Bulgarien,Bulgarien,Bulgārija,Sofia,Sofia,Sofia,Sofija,Bulgaria,Sofia,Bulgaria,Sofiya;Sofija
Burkina Faso,Burkina Faso,Burkina Faso,Burkinafaso,Ouagadougou,Ouagadougou,Ouagadougou,Vagadugu,Burkina Faso,Ouagadougou,Burkina Faso,Ouagadougou
Burundi,Burundi,Burundi,Burundija,Gitega;Bujumbura,Gitega;Bujumbura,Gitega;Bujumbura,Gitega,Burundi,Bujumbura,Burundi,Gitega;Bujumbura
Cambodia,Kambodscha,Kambodja,Kambodža,Phnom Penh,Phnom Penh,Phnom Penh,Pnompeņa,Campuchia,Phnôm Pênh,Kampuchea,Phnum Pénh;Phnom Penh
Cameroon,Kamerun,Kamerun,Kamerūna,Yaoundé,Yaoundé,Yaoundé,Jaunde,Cameroon,Yaoundé,Cameroon,Yaoundé;Yaounde
Canada,Kanada,Kanada,Kanāda,Ottawa,Ottawa,Ottawa,Otava,Canada,Ottawa,Canada,Ottawa
Cape Verde,Kap Verde,Kap Verde,Kaboverde,Praia,Praia,Praia,Praja,Cabo Verde,Praia,Cabo Verde,Praia
Central African Republic,Zentralafrikanische Republik,Centralafrikanska republiken,Centrālāfrikas Republika,Bangui,Bangui,Bangui,Bangi,CH Trung Phi,Bangui,Republique Centrafricaine,Bangui;Bangî
Chad,Tschad,Tchad,Čada,N'Djamena,N'Djamena,N'Djamena,Ndžamena,Tchad,N'Djamena,Tchad,Ndjamena;Nijāmīnā;N'Djamena
Chile,Chile,Chile,Čīle,Santiago de Chile;Santiago,Santiago de Chile;Santiago,Santiago de Chile;Santiago,Santjago;Santiago de Čīle,Chile,Santiago;Santiago de Chile,Chile,Santiago
China,China,Kina,Ķīna,Beijing,Peking,Peking,Pekina,Trung Quốc,Bắc Kinh,Zhong Guo,Běijīng
Colombia,Kolumbien,Colombia,Kolumbija,Bogotá,Bogotá,Bogotá,Bogota,Colombia,Bogotá,Colombia,Bogota
Comoros,Komoren,Komorerna,Komoras,Moroni,Moroni,Moroni,Moroni,Comoros,Moroni,Komori,Moroni
Democratic Republic of the Congo,Demokratische Republik Kongo,Demokratiska Republiken Kongo,Kongo Demokrātiskā Republika,Kinshasa,Kinshasa,Kinshasa,Kinšasa,CH Congo,Brazzaville,République Démocratique du Congo,Kinshasa;Kinsasa;Kinsásá
Republic of Congo,Republik Kongo,Republiken Kongo,Kongo Republika,Brazzaville,Brazzaville,Brazzaville,Brazavila,CHDC Congo,Kinshasa,République du Congo,Brazzaville;Balazavile
Costa Rica,Costa Rica,Costa Rica,Kostarika,San José,San José,San José,Sanhosē,Costa Rica,San José,Costa Rica,San José;San Jose
Ivory Coast,Elfenbeinküste,Elfenbenskusten,Kotdivuāra,Yamoussoukro,Yamoussoukro,Yamoussoukro,Jamusukro,Bờ Biển Ngà,Yamoussoukro,Cote d'Ivoire,Yamoussoukro
Croatia,Kroatien,Kroatien,Horvātija,Zagreb,Zagreb,Zagreb,Zagreba,Croatia,Zagreb,Hrvatska,Zagreb
Cuba,Kuba,Kuba,Kuba,Havana,Havanna,Havanna,Havana,Cuba,La Habana;Havana,Cuba,La Habana;Habana;Havanna
Cyprus,Zypern,Cypern,Kipra,Nicosia,Nikosia,Nikosia,Nikosija,Síp,Nicosia,"Kibris, Kypros",Lefkosia;Lefkoşa;Nicosia
Czech Republic,Tschechien,Tjeckien,Čehija,Prague,Prag,Prag,Prāga,Cộng hòa Séc,Prague,Česko,Praha
Denmark,Dänemark,Danmark,Dānija,Copenhagen,Kopenhagen,Köpenhamn,Kopenhāgena,Đan Mạch,Copenhagen,Danmark,København
Djibouti,Dschibuti,Djibouti,Džibutija,Djibouti;Djibouti City;Jibuti City,Dschibuti;Dschibuti Stadt;Dschibuti (Stadt),Djibouti;Djibouti (Stad),Džibuti;Džibuti pilsēta;Džibuti (pilsēta),Djibouti,Djibouti,"Jabuuti, Gabuuti",Jabuuti;Djibouti;Gabuuti;Jībūtī;Jibuti
Dominica,Dominica,Dominica,Dominika,Roseau,Roseau,Roseau,Rozo,Dominica,Roseau,Dominica (Ouaitocoubouli),Roseau
Dominican Republic,Dominikanische Republik,Dominikanska republiken,Dominikāna,Santo Domingo,Santo Domingo,Santo Domingo,Santodomingo,CH Dominica,Santo Domingo,República Dominicana,Santo Domingo
East Timor,Osttimor,Östtimor,Austrumtimora,Dili,Dili,Dili,Dili,Timor-Leste,Dili,Timór Loro Sa’e,Díli
Ecuador,Ecuador,Ecuador,Ekvadora,Quito,Quito,Quito,Kito,Ecuador,Quito,Ecuador,Quito
Egypt,Ägypten,Egypten,Ēģipte,Cairo,Kairo,Kairo,Kaira,Ai Cập,Cairo,Miṣr,Al-Qāhirah;Cairo
El Salvador,El Salvador,El Salvador,Salvadora,San Salvador,San Salvador,San Salvador,Sansalvadora,El Salvador,San Salvador,El Salvador,San Salvador
Equatorial Guinea,Äquatorialguinea,Ekvatorialguinea,Ekvatoriālā Gvineja,Malabo,Malabo,Malabo,Malabo,Guinea Xích Đạo,Malabo,Guinea Ecuatorial,Malabo
Eritrea,Eritrea,Eritrea,Eritreja,Asmara,Asmara,Asmara,Asmera,Eritrea,Asmara,"Hagärä Ertra, Tigrinya",Asmaraa;Asmära
Estonia,Estland,Estland,Igaunija,Tallinn,Tallinn,Tallinn,Tallina,Estonia,Tallinn,Eesti Vabariik,Tallinn
Eswatini (Swaziland),Eswatini (Swasiland),Eswatini (Swaziland),Svatini,Mbabane,Mbabane,Mbabane,Mbabane,Eswatini,Mbabane,Eswatini,Mbabane
Ethiopia,Äthiopien,Etiopien,Etiopija,Addis Ababa,Addis Abeba,Addis Abeba,Adisabeba,Ethiopia,Addis Ababa,Ityop'iya,Addis Abäba;Addis Abeba;Addis Ababa
Fiji,Fidschi,Fiji,Fidži,Suva,Suva,Suva,Suva,Fiji,Suva,"Matanitu ko Viti, Fidźi",Suva
Finland,Finnland,Finland,Somija,Helsinki,Helsinki,Helsingfors,Helsinki,Phần Lan,Helsinki,Suomi,Helsinki;Helsingfors
France,Frankreich,Frankrike,Francija,Paris,Paris,Paris,Parīze,Pháp,Paris,France,Paris
Gabon,Gabun,Gabon,Gabona,Libreville,Libreville,Libreville,Librevila,Gabon,Libreville,Gabon,Libreville
Gambia,Gambia,Gambia,Gambija,Banjul,Banjul,Banjul,Bandžula,Gambia,Banjul,The Gambia,Banjul
Georgia,Georgien,Georgien,Gruzija,Tbilisi,Tiflis,Tbilisi,Tbilisi,Gruzia,Tbilisi,Sakartwelo,Tbilisi
Germany,Deutschland,Tyskland,Vācija,Berlin,Berlin,Berlin,Berlīne,Đức,Berlin;Bá Linh,Deutschland,Berlin
Ghana,Ghana,Ghana,Gana,Accra,Accra,Accra,Akra,Ghana,Accra,Ghana,Accra;Nkran
Greece,Griechenland,Grekland,Grieķija,Athens,Athen,Aten;Athen,Atēnas,Hy Lạp,Athens,Ellas or Ellada,Athinai
Grenada,Grenada,Grenada,Grenāda,Saint George's,Saint George's,Saint George's,Sentdžordžesa,Grenada,St. George's,Grenada,St. George's;Saint George's
Guatemala,Guatemala,Guatemala,Gvatemala,Guatemala City,Guatemala-Stadt,Guatemala City,Gvatemala;Gvatemala (pilsēta);Gvatemala pilsēta,Guatemala,Thành phố Guatemala,Guatemala,Ciudad de Guatemala
Guinea,Guinea,Guinea,Gvineja,Conakry,Conakry,Conakry,Konakri,Guinée,Conakry,Guinée,Conakry;Kɔnakiri;Konakiri
Guinea-Bissau,Guinea-Bissau,Guinea-Bissau,Gvineja-Bisava,Bissau,Bissau,Bissau,Bisava,Guiné-Bissau,Bissau,Guiné-Bissau,Bissau
Guyana,Guyana,Guyana,Gajāna,Georgetown,Georgetown,Georgetown,Džordžtauna,Guyana,Georgetown,Guyana,Georgetown
Haiti,Haiti,Haiti,Haiti,Port-au-Prince,Port-au-Prince,Port-au-Prince,Portoprensa,Haiti,Port-au-Prince,Haiti,Port-au-Prince;Pòtoprens
Honduras,Honduras,Honduras,Hondurasa,Tegucigalpa,Tegucigalpa,Tegucigalpa,Tegusigalpa,Honduras,Tegucigalpa,Honduras,Tegucigalpa
Hungary,Ungarn,Ungern,Ungārija,Budapest,Budapest,Budapest,Budapešta,Hungary,Budapest,Magyarország,Budapest
Iceland,Island,Island,Islande,Reykjavik,Reykjavik,Reykjavik,Reikjavīka,Iceland,Reykjavík,Ísland,Reykjavík;Reykjavik
India,Indien,Indien,Indija,New Delhi,Neu-Delhi,New Delhi,Deli,Ấn Độ,New Delhi,Bhārat,New Delhi;Delhi
Indonesia,Indonesien,Indonesien,Indonēzija,Jakarta,Jakarta,Jakarta,Džakarta,Indonesia,Jakarta,Indonesia,Jakarta
Iran,Iran,Iran,Irāna,Tehran,Teheran,Teheran,Teherāna,Iran,Tehran,Īrān,Tehrān;Tehran
Iraq,Irak,Irak,Irāka,Baghdad,Bagdad,Bagdad,Bagdāde,Iraq,Baghdad,al-ʿIrāq,Baghdad;Bexda;Bagdad
Ireland,Irland,Irland,Īrija,Dublin,Dublin,Dublin,Dublina,Ireland,Dublin,Éire,Dublin;Baile Átha Cliath
Israel,Israel,Israel,Izraēla,Jerusalem,Jerusalem,Jerusalem,Jeruzaleme,Israel,Jerusalem,Jisra'el,Yerushalayim;Al-Quds
Italy,Italien,Italien,Itālija,Rome,Rom,Rom,Roma,Ý,Rome,Italia,Roma
Jamaica,Jamaica,Jamaica,Jamaika,Kingston,Kingston,Kingston,Kingstona,Jamaica,Kingston,Jamaica,Kingston
Japan,Japan,Japan,Japāna,Tokyo,Tokio,Tokyo,Tokija,Nhật Bản,Tokyo,Nihon oder Nippon,Tōkyō;Tokyo
Jordan,Jordanien,Jordanien,Jordānija,Amman,Amman,Amman,Ammāna,Jordan,Amman,al-Urdunn,‘Ammān
Kazakhstan,Kasachstan,Kazakstan,Kazahstāna,Astana,Astana,Astana,Astana,Kazakhstan,Astana,Qazaqstan,Astana;Akmolinsk;Tselinograd;Akmola;Nur-Sultan;Nursultan
Kenya,Kenia,Kenya,Kenija,Nairobi,Nairobi,Nairobi,Nairobi,Kenya,Nairobi,Kenya,Nairobi
Kiribati,Kiribati,Kiribati,Kiribati,Tarawa,Tarawa;Süd-Tarawa,Tarawa;Sydtarawa,Teinainano,Kiribati,Nam Tarawa;Tarawa,Ribaberiki Kiribati,Tarawa;South-Tarawa;South Tarawa
North Korea,Nordkorea,Nordkorea,Korejas TDR,Pyongyang,Pjöngjang,Pyongyang,Phenjana,CHDCND Triều Tiên;Bình Nhưỡng,Pyongyang,Chosŏn,P'yŏngyang;Pyongyang
South Korea,Südkorea,Sydkorea,Korejas Republika,Seoul,Seoul,Seoul,Seula,Hàn Quốc,Seoul,Hanguk oder Namhan,Seoul
Kuwait,Kuwait,Kuwait,Kuveita,Kuwait City,Kuwait-Stadt,Kuwait;Kuwait-Stad,Kuveita;Kuveita (pilsēta);Kuveita pilsēta,Kuwait,Thành phố Kuwait,Al Kuwayt,Madiinat ul-Kuwayt;id-diira;Kuwait;Kuwait City
Kyrgyzstan,Kirgisistan,Kirgizistan,Kirgizstāna,Bishkek,Bischkek,Bisjkek,Biškeka,Kyrgyzstan,Bishkek,Kyrgysstan,Bishkek
Laos,Laos,Laos,Laosa,Vientiane,Vientiane,Vientiane,Vjenčana,Lào,Viêng Chăn;Vientiane,Lao,Vientiane;Vieng Chan;Wīang Chan
Latvia,Lettland,Lettland,Latvija,Riga,Riga,Riga,Rīga,Latvia,Riga,Latvija,Rīga
Lebanon,Libanon,Libanon,Libāna,Beirut,Beirut,Beirut,Beirūta,Liban,Beirut,Lubnan,Bayrūt;Beyrouth
Lesotho,Lesotho,Lesotho,Lesoto,Maseru,Maseru,Maseru,Maseru,Lesotho,Maseru,Lesotho,Maseru
Liberia,Liberia,Liberia,Libērija,Monrovia,Monrovia,Monrovia,Monrovija,Liberia,Monrovia,Liberia,Monrovia
Libya,Libyen,Libyen,Lībija,Tripoli,Tripolis,Tripoli,Tripole,Libya,Tripoli,Libiyah,Ṭrables;Tripoli;Tarabulus
Liechtenstein,Liechtenstein,Liechtenstein,Lihtenšteina,Vaduz,Vaduz,Vaduz,Vaduca,Liechtenstein,Vaduz,Liechtenstein,Vaduz
Lithuania,Litauen,Litauen,Lietuva,Vilnius,Vilnius,Vilnius,Viļņa,Litva,Vilnius,Lietuva,Vilnius
Luxembourg,Luxemburg,Luxemburg,Luksemburga,Luxembourg;Luxembourg City,Luxemburg;Stadt Luxemburg;Luxemburg Stadt;Luxemburg (Stadt),Luxemburg;Luxemburg stad;Luxemburg (stad),Luksemburga;Luksemburga (pilsēta);Luksemburga pilsēta,Luxembourg,Luxembourg,"Luxembourg, Lëtzebuerg",Lëtzebuerg;Luxemburg;Luxembourg
North Macedonia,Nordmazedonien,Nordmakedonien,Ziemeļmaķedonija,Skopje,Skopje,Skopje,Skopje,Bắc Macedonia,Skopje,Severna Makedonija,Skopje
Madagascar,Madagaskar,Madagaskar,Madagaskara,Antananarivo,Antananarivo,Antananarivo,Antananarivu,Madagascar,Antananarivo,Madagasikara,Antananarivo;Tananarive
Malawi,Malawi,Malawi,Malāvija,Lilongwe,Lilongwe,Lilongwe,Lilongve,Malawi,Lilongwe,Malaŵi,Lilongwe
Malaysia,Malaysia,Malaysia,Malaizija,Kuala Lumpur,Kuala Lumpur,Kuala Lumpur,Kualalumpura,Malaysia,Kuala Lumpur,Malaysia,Kuala Lumpur
Maldives,Malediven,Maldiverna,Maldīvija,Malé,Malé,Malé,Male;Malē,Maldives,Malé,Dhivehi Raajje,Malé;Male
Mali,Mali,Mali,Mali,Bamako,Bamako,Bamako,Bamako,Mali,Bamako,Mali,Bamako;Bamakɔ
Malta,Malta,Malta,Malta,Valletta,Valletta,Valletta,Valleta,Malta,Valletta,Malta,Valletta;Il-Belt Valletta
Marshall Islands,Marshallinseln,Marshallöarna,Māršala Salas,Majuro,Majuro,Majuro,Madžuro,Quần đảo Marshall,Majuro,Aolepān Aorōkin Ṃajeḷ,Majuro;Mājro
Mauritania,Mauritanien,Mauretanien,Mauritānija,Nouakchott,Nouakchott,Nouakchott,Nuakšota,Mauritanie,Nouakchott,Mūrītāniyya,Nwakcuṭ;anu ukcuḍ;nwakšūṭ;Nouakchott
Mauritius,Mauritius,Mauritius,Maurīcija,Port Louis,Port Louis,Port Louis,Portluī,Mauritius,Port Louis,Mauritius,Port Louis;Port-Louis;Porlwi
Mexico,Mexico,Mexiko,Meksika,Mexico City,Mexiko-Stadt;Mexiko Stadt,Mexiko City,Mehiko;Mehiko (pilsēta);Mehiko pilsēta,México,Thành phố México,Estados Unidos Mexicanos,Mexico City;Ciudad de México
Micronesia,Mikronesien,Mikronesia,Mikronēzija,Palikir,Palikir,Palikir,Palikira,Micronesia,Palikir,Mikronesien,Palikir
Moldova,Republik Moldau,Moldavien,Moldova,Chișinău,Chișinău,Chișinău,Kišiņeva,Moldova,Chisinau,Moldova,Chișinău;Chisinau
Monaco,Monaco,Monaco,Monako,Monaco,Monaco,Monaco,Monako,Monaco,Monaco,Principatu de Mu̍negu,Monaco;Múnegu
Mongolia,Mongolei,Mongoliet,Mongolija,Ulaanbaatar,Ulaanbaatar,Ulan Bator,Ulanbatora,Mông Cổ,Ulan Bator,Mongol Uls,Ulaanbaatar;Ulan-Bator;Ulanbator
Montenegro,Montenegro,Montenegro,Melnkalne,Podgorica,Podgorica,Podgorica,Podgorica,Montenegro,"Podgorica (chính thức)
Cetinje (cố đô Hoàng gia, phủ tổng thống)",Crna Gora,Podgorica
Morocco,Marokko,Marocko,Maroka,Rabat,Rabat,Rabat,Rabāta;Rabata,Maroc,Rabat,Al Maghrib,Errbaṭ;Ar-ribaaṭ
Mozambique,Mosambik,Moçambique,Mozambika,Maputo,Maputo,Maputo,Maputu,Mozambique,Maputo,Moçambique,Maputo
Myanmar,Myanmar,Myanmar,Mjanma,Nay Pyi Taw,Nay Pyi Taw,Nay Pyi Taw,Nepjido,Myanmar,Naypyidaw,Myanma,Nay Pyi Taw;Naypyitaw;Naypyidaw;Nay Pyi Daw
Namibia,Namibia,Namibia,Namībija,Windhoek,Windhoek,Windhoek,Vindhuka,Namibia,Windhoek,Namibia,Windhoek;Windhuk;Otjomuise
Nepal,Nepal,Nepal,Nepāla,Kathmandu,Kathmandu,Katmandu,Katmandu,Nepal,Kathmandu,Nepal,Kāṭhamāṇḍaũ;Katmandu;Kathmandu
Netherlands,Niederlande,Nederländerna,Nīderlande,Amsterdam,Amsterdam,Amsterdam,Amsterdama,Hà Lan,Amsterdam,"Nederland, Holland",Amsterdam
New Zealand,Neuseeland,Nya Zeeland,Jaunzēlande,Wellington,Wellington,Wellington,Velingtona,New Zealand,Wellington,Aotearoa,Wellington;Poneke;Te Whanganui-a-Tara
Nicaragua,Nicaragua,Nicaragua,Nikaragva,Managua,Managua,Managua,Managva,Nicaragua,Managua,Nicaragua,Managua
Niger,Niger,Niger,Nigēra,Niamey,Niamey,Niamey,Niameja,Niger,Niamey,Niger,Niamey
Nigeria,Nigeria,Nigeria,Nigērija,Abuja,Abuja,Abuja,Abudža,Nigeria,Abuja,Nigeria,Abuja;Àbújá
Norway,Norwegen,Norge,Norvēģija,Oslo,Oslo,Oslo,Oslo,Na Uy,Oslo,"Norge, Noreg",Oslo
Oman,Oman,Oman,Omāna,Muscat,Maskat,Muskat,Maskata,Oman,Muscat,ʿUmān,Masqaṭ;Muscat
Pakistan,Pakistan,Pakistan,Pakistāna,Islamabad,Islamabad,Islamabad,Islāmābāda;Islamabada;Islamabāda,Pakistan,Islamabad,Pakistan,Islamabad;Islāmabād
Palau,Palau,Palau,Palau,Ngerulmud,Ngerulmud,Ngerulmud,Nerulmuda,Palau,Ngerulmud,Belau,Ngerulmud
Palestine,Palästina,Palestina,Palestīna,East Jerusalem,Ost-Jerusalem;Ost Jerusalem,Östra Jerusalem,Austrumjeruzalemē;Austrumu Jeruzaleme;Rāmalla;Ramalla,Palestine,"Đông Jerusalem (công bố)
Ramallah (thực tế)",Filastin,Al-Quds Al-Sharqit;Rāmallāh;Ramallah
Panama,Panama,Panama,Panama,Panama City,Panama-Stadt;Panama Stadt,Panama City,Panama;Panama pilsēta;Panama (pilsēta),Panama,Thành phố Panama,Panama,Ciudad de Panamá;Ciudad de Panama
Papua New Guinea,Papua-Neuguinea,Papua Nya Guinea,Papua-Jaungvineja,Port Moresby,Port Moresby,Port Moresby,Portmorsbi,Papua New Guinea,Port Moresby,Papua Niu Gini,Port Moresby;Pot Mosbi
Paraguay,Paraguay,Paraguay,Paragvaja,Asunción,Asunción,Asunción,Asunsjona,Paraguay,Asunción,"Paraguay, Paraguái",Asunción
Peru,Peru,Peru,Peru,Lima,Lima,Lima,Lima,Peru,Lima,Peru,Lima
Philippines,Philippinen,Filippinerna,Filipīnas,Manila,Manila,Manila,Manila,Philippines,Manila,Pilipinas,Manila;Maynila
Poland,Polen,Polen,Polija,Warsaw,Warschau,Warszawa,Varšava,Ba Lan,Warsaw,Polska,Warszawa
Portugal,Portugal,Portugal,Portugāle,Lisbon,Lissabon,Lissabon,Lisabona,Bồ Đào Nha,Lisbon,Portugal,Lisboa
Qatar,Katar,Qatar,Katara,Doha,Doha,Doha,Doha,Qatar,Doha,Dawlat Qatar,Ad-Dawḥah
Romania,Rumänien,Rumänien,Rumānija,Bucharest,Bukarest,Bukarest,Bukareste,România,Bucharest,Romania,București
Russia,Russland,Ryssland,Krievija,Moscow,Moskau,Moskva,Maskava,Nga,Moskva,Rossija,Moskva
Rwanda,Ruanda,Rwanda,Ruanda,Kigali,Kigali,Kigali,Kigali,Rwanda,Kigali,Rwanda,Kigali
Saint Kitts and Nevis,St. Kitts und Nevis,Saint Kitts och Nevis,Sentkitsa un Nevisa,Basseterre,Basseterre,Basseterre,Bastera,Saint Kitts và Nevis,Basseterre,Saint Kitts and Nevis,Basseterre
Saint Lucia,St. Lucia,Saint Lucia,Sentlūsija,Castries,Castries,Castries,Kastri,Saint Lucia,Castries,Saint Lucia,Castries
Saint Vincent and the Grenadines,St. Vincent und die Grenadinen,Saint Vincent och Grenadinerna,Sentvinsenta un Grenadīnas,Kingstown,Kingstown,Kingstown,Kingstauna,Saint Vincent và Grenadines,Kingstown,Saint Vincent,Kingstown
Samoa,Samoa,Samoa,Samoa,Apia,Apia,Apia,Apija,Samoa,Apia,Sāmoa,Apia
San Marino,San Marino,San Marino,Sanmarīno,San Marino;San Marino City; San Marino (City),San Marino;San Marino Stadt;San Marino (Stadt),San Marino;San Marino Stad;San Marino (stad),Sanmarīno;Sanmarino (pilsēta);Sanmarino pilsēta,San Marino,San Marino,San Marino,San Marino;San Marino Città
São Tomé and Príncipe,São Tomé und Príncipe,São Tomé och Príncipe,Santome un Prinsipi,São Tomé,São Tomé,São Tomé,Santome,São Tomé và Príncipe,São Tomé,São Tomé e Príncipe,São Tomé;Sao Tome
Saudi Arabia,Saudi-Arabien,Saudiarabien,Saūda Arābija,Riyadh,Riad;Riyadh,Riyadh,Rijāda,Ả Rập Xê Út,Riyadh,Al Arabiyah as Suudiyah,Ar-Riyāḍ
Senegal,Senegal,Senegal,Senegāla,Dakar,Dakar,Dakar,Dakara;Dakāra,Sénégal,Dakar,Senegal,Dakar;Ndakaaru
Serbia,Serbien,Serbien,Serbija,Belgrade,Belgrad,Belgrad,Belgrada,Serbia,Belgrade,Srbija,Beograd
Seychelles,Seychellen,Seychellerna,Seišelas,Victoria,Victoria,Victoria,Viktorija,Seychelles,Victoria,"Seychelles, Sesel",Victoria;Port Victoria
Sierra Leone,Sierra Leone,Sierra Leone,Sjerraleone,Freetown,Freetown,Freetown,Frītauna,Sierra Leone,Freetown,Sierra Leone,Freetown
Singapore,Singapur,Singapore,Singapūra,Singapore,Singapur,Singapore;Singapur,Singapūra,Singapore,Singapore,"Singapore, Singapura",Singapura;Singapore;Singapur;Xīnjiāpō
Slovakia,Slowakei,Slovakien,Slovākija,Bratislava,Bratislava,Bratislava,Bratislava,Slovakia,Bratislava,Slovensko,Bratislava
Slovenia,Slovenien,Slovenien,Slovēnija,Ljubljana,Ljubljana,Ljubljana,Ļubļana,Slovenia,Ljubljana,Slovenija,Ljubljana
Solomon Islands,Salomonen,Salomonöarna,Zālamana Salas,Honiara,Honiara,Honiara,Honiara,Quần đảo Solomon,Honiara,Solomon Islands,Honiara;Honiala
Somalia,Somalia,Somalia,Somālija,Mogadishu,Mogadischu,Mogadishu,Mogadīšo,Somalia,Mogadishu,Soomaaliya,Muqdisho;Maqadīshū;Mogadishu
South Sudan,Südsudan,Sydsudan,Dienvidsudāna,Juba,Juba,Juba,Džūba,Nam Sudan,Juba,Sudan Kusini,Juba
Spain,Spanien,Spanien,Spānija,Madrid,Madrid,Madrid,Madride,Tây Ban Nha,Madrid,España,Madrid
Sri Lanka,Sri Lanka,Sri Lanka,Šrilanka,Colombo,Colombo,Colombo,Kolombo,Sri Lanka,Colombo,Sri Lanka,Sri Jayawardenapura Kotte
Sudan,Sudan,Sudan,Sudāna,Khartoum,Khartum,Khartoum,Hartūma,Sudan,Khartoum,As-Sudan,Al-Khartûm;Khartoum
Suriname,Suriname,Surinam,Surinama,Paramaribo,Paramaribo,Paramaribo,Paramaribo,Suriname,Paramaribo,Suriname,Paramaribo
Sweden,Schweden,Sverige,Zviedrija,Stockholm,Stockholm,Stockholm,Stokholma,Thụy Điển,Stockholm,Sverige,Stockholm
Switzerland,Schweiz,Schweiz,Šveice,Bern,Bern,Bern,Berne,Thụy Sĩ,Bern,"Schweiz (German), Suisse (French), Svizzera (Italian)",Bern;Berne;Berna
